Description,epoch,train_loss,train_accuracy,test_accuracy
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",68,1.961065138578415,24.6,20.8
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",69,1.9438306975364685,24.6,20.599999999999998
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",70,1.9614141988754272,24.6,20.7
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",71,1.9573840773105622,24.6,20.7
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",72,1.9705558347702026,24.6,20.599999999999998
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",73,1.9617546057701112,24.6,20.5
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",74,1.9702532553672791,24.6,20.5
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",75,1.9586351215839386,24.6,20.5
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",76,1.9556155073642731,24.7,20.599999999999998
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",77,1.9557522320747376,24.6,20.599999999999998
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",78,1.9467740619182587,24.7,20.599999999999998
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",79,1.960487220287323,24.6,20.599999999999998
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",80,1.9464854216575622,24.6,20.599999999999998
Description,epoch,train_loss,train_accuracy,test_accuracy
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",1,3.4689527344703674,14.799999999999999,14.2
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",2,3.228225769996643,14.000000000000002,12.2
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",3,3.1829311299324035,15.9,14.799999999999999
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",4,2.9740491580963133,13.600000000000001,12.6
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",5,3.066088764667511,14.6,13.5
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",6,3.078689687252045,15.8,13.5
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",7,2.9939871501922606,14.7,13.5
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",8,2.9227630615234377,14.6,12.7
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",9,2.834570026397705,15.6,14.399999999999999
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",10,3.022139036655426,14.499999999999998,13.100000000000001
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",11,2.88838339805603,15.4,13.700000000000001
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",12,2.9180312609672545,16.0,14.099999999999998
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",13,2.832452487945557,14.799999999999999,12.6
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",14,2.8675989508628845,15.4,13.200000000000001
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",15,2.8176354360580445,15.2,13.200000000000001
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",16,2.67823992729187,16.400000000000002,14.299999999999999
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",17,2.717525327205658,16.0,14.7
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",18,2.6938992285728456,13.8,11.899999999999999
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",19,2.6990843081474303,15.6,13.4
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",20,2.686988890171051,16.2,14.6
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",21,2.6067736530303955,16.5,14.2
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",22,2.718988075256348,13.700000000000001,11.899999999999999
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",23,2.624898452758789,13.900000000000002,12.5
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",24,2.650382239818573,16.3,14.2
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",25,2.5468396449089052,15.0,12.9
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",26,2.1723973155021667,17.2,14.000000000000002
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",27,2.152833342552185,17.5,14.2
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",28,2.139155511856079,17.4,13.8
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",29,2.1270726001262665,17.5,14.000000000000002
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",30,2.123693732023239,17.5,13.700000000000001
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",31,2.114299474954605,17.599999999999998,13.700000000000001
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",32,2.1227022910118105,17.9,14.099999999999998
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",33,2.100477223396301,18.0,14.299999999999999
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",34,2.1072309648990633,17.7,13.8
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",35,2.099704911708832,17.9,14.2
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",36,2.097351230382919,18.4,14.399999999999999
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",37,2.0827605545520784,18.099999999999998,14.2
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",38,2.0878478026390077,18.099999999999998,14.299999999999999
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",39,2.0929818046092987,18.0,14.499999999999998
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",40,2.091499711275101,18.0,14.099999999999998
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",41,2.0843766582012178,18.2,14.299999999999999
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",42,2.081228827238083,18.3,14.2
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",43,2.0712727344036104,18.099999999999998,14.000000000000002
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",44,2.088094961643219,18.5,14.099999999999998
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",45,2.0912252748012543,18.5,14.399999999999999
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",46,2.0810534524917603,18.7,14.6
